tick,type,tempo,control,value,channel,note,velocity,pitch,track,meta
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,pitchwheel,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,7.0,112.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,10.0,64.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,10.0,55.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,7.0,120.0,4.0,0.0,0.0,0.0,1,False
0,pitchwheel,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,64.0,0.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,93.0,28.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,91.0,100.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1,False
0,program_change,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,False
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,control_change,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,32.0,0.0,5.0,0.0,0.0,0.0,1,False
0,program_change,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,10.0,55.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,7.0,125.0,5.0,0.0,0.0,0.0,1,False
0,pitchwheel,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,64.0,0.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,32.0,0.0,4.0,0.0,0.0,0.0,1,False
0,control_change,0.0,93.0,28.0,5.0,0.0,0.0,0.0,1,False
0,control_change,0.0,64.0,0.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,91.0,100.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,32.0,0.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,10.0,73.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,91.0,100.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,93.0,28.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,64.0,0.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,False
0,control_change,0.0,7.0,127.0,1.0,0.0,0.0,0.0,1,False
0,program_change,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,False
0,pitchwheel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,False
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,control_change,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,93.0,28.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,32.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,7.0,122.0,2.0,0.0,0.0,0.0,1,False
0,pitchwheel,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,64.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,93.0,28.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,91.0,100.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,10.0,73.0,2.0,0.0,0.0,0.0,1,False
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,control_change,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,False
0,control_change,0.0,32.0,0.0,3.0,0.0,0.0,0.0,1,False
0,program_change,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,False
0,program_change,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,False
0,control_change,0.0,91.0,100.0,5.0,0.0,0.0,0.0,1,False
0,track_name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,marker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,set_tempo,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,key_signature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True
0,time_signature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True